Pop2023,Pop2022,city,country,continent,growthRate,rank,
1221960,1200947,Tiruchirappalli,India,Asia,0.0175,464,
1220634,1188374,Da Nang,Vietnam,Asia,0.0271,465,
1220603,1201142,Merida,Mexico,North America,0.0162,466,
1216852,1196384,Benxi,China,Asia,0.0171,467,
1215376,1191977,Jinzhou,China,Asia,0.0196,468,
1214775,1191299,Chandigarh,India,Asia,0.0197,469,
1213778,1164908,Tasikmalaya,Indonesia,Asia,0.042,470,
1213348,1197931,Chiang Mai,Thailand,Asia,0.0129,471,
1207275,1162776,Pizhou,China,Asia,0.0383,472,
1206767,1139265,Bujumbura,Burundi,Africa,0.0593,473,
1200222,1163766,Binzhou,China,Asia,0.0313,474,
1197935,1149350,Luohe,China,Asia,0.0423,475,
1196841,1175605,Guilin,China,Asia,0.0181,476,
1190348,1159635,Quetta,Pakistan,Asia,0.0265,477,
1188803,1150116,Aba,Nigeria,Africa,0.0336,478,
1187398,1158048,Kaduna,Nigeria,Africa,0.0253,479,
1183292,1175830,Tripoli,Libya,Africa,0.0063,480,
1183042,1117707,Xiongan,China,Asia,0.0585,481,
1181194,1158368,Hubli-Dharwad,India,Asia,0.0197,482,
1180745,1181049,Omsk,Russia,Europe,-0.0003,483,
1178477,1159544,Mexicali,Mexico,North America,0.0163,484,
1176330,1154876,Guwahati,India,Asia,0.0186,485,
1175989,1119608,Bazhong,China,Asia,0.0504,486,
1174429,1163950,Haifa,Israel,Asia,0.009,487,
1174025,1165898,Amsterdam,Netherlands,Europe,0.007,488,
1171689,1133891,Saharanpur,India,Asia,0.0333,489,
1169953,1146334,Salem,India,Asia,0.0206,490,
1169864,1135548,Yueqing,China,Asia,0.0302,491,
1166792,1158761,Krasnoyarsk,Russia,Europe,0.0069,492,
1162793,1138960,Maputo,Mozambique,Africa,0.0209,493,
1162242,1138359,Bandar Lampung,Indonesia,Asia,0.021,494,
1161448,1143281,Aguascalientes,Mexico,North America,0.0159,495,
1155732,1157631,Samara,Russia,Europe,-0.0016,496,
1155073,1125804,Shimkent,Kazakhstan,Asia,0.026,497,
1144799,1142399,Ufa,Russia,Europe,0.0021,498,
1143715,1136992,Cologne,Germany,Europe,0.0059,499,
1140599,1120346,Xinxiang,China,Asia,0.0181,500,
1138854,1138025,Rostov-on-Don,Russia,Europe,0.0007,501,
1135671,1120784,Yongin,South Korea,Asia,0.0133,502,
1133629,1117176,Zaozhuang,China,Asia,0.0147,503,
1131361,1101419,Wenling,China,Asia,0.0272,504,
1128646,1074309,Bobo-Dioulasso,Burkina Faso,Africa,0.0506,505,
1127198,1079377,Hargeysa,Somalia,Africa,0.0443,506,
1126249,1091949,Siliguri,India,Asia,0.0314,507,
1123843,1107476,Cuernavaca,Mexico,North America,0.0148,508,
1120694,1093520,Fuyang,China,Asia,0.0249,509,
1120675,1098267,Panjin,China,Asia,0.0204,510,
1118826,1096068,Jalandhar,India,Asia,0.0208,511,
1116295,1096429,Chihuahua,Mexico,North America,0.0181,512,
1116052,1110681,San Salvador,El Salvador,North America,0.0048,513,
1112680,1083048,Ma'anshan,China,Asia,0.0274,514,
1110824,1078342,Bien Hoa,Vietnam,Asia,0.0301,515,
1106736,1081383,Shangrao,China,Asia,0.0234,516,
1105283,1094880,Goyang,South Korea,Asia,0.0095,517,
1104742,1082214,Bishkek,Kyrgyzstan,Asia,0.0208,518,
1103202,1077519,Zhaoqing,China,Asia,0.0238,519,
1100324,1071258,Samarinda,Indonesia,Asia,0.0271,520,
1100271,1065779,Fuzhou Jiangxi,China,Asia,0.0324,521,
1096937,1078994,Diyarbakir,Turkey,Asia,0.0166,522,
1094813,1092028,Yerevan,Armenia,Asia,0.0026,523,
1094510,1083094,Managua,Nicaragua,North America,0.0105,524,
1093308,1041166,Ikorodu,Nigeria,Africa,0.0501,525,
1089886,1072008,Jingzhou Hubei,China,Asia,0.0167,526,
1087599,1079004,Cartagena,Colombia,South America,0.008,527,
1087409,1055794,Leshan,China,Asia,0.0299,528,
1086214,1065341,Johor Bahru,Malaysia,Asia,0.0196,529,
1085992,1071062,Oslo,Norway,Europe,0.0139,530,
1084969,1046252,Chenzhou,China,Asia,0.037,531,
1084623,1066369,Kermanshah,Iran,Asia,0.0171,532,
1082245,1080349,Tbilisi,Georgia,Asia,0.0018,533,
1081768,1078878,Perm,Russia,Europe,0.0027,534,
1080808,1077179,Voronezh,Russia,Europe,0.0034,535,
1080680,1050796,Dezhou,China,Asia,0.0284,536,
1079670,1044911,Aden,Yemen,Asia,0.0333,537,
1079120,1073395,Lille,France,Europe,0.0053,538,
1078630,1029428,Yichun Jiangxi,China,Asia,0.0478,539,
1077929,1034917,Sekondi Takoradi,Ghana,Africa,0.0416,540,
1077108,1023575,Tshikapa,DR Congo,Africa,0.0523,541,
1074884,1051780,Kirkuk,Iraq,Asia,0.022,542,
1072666,1034872,Asmara,Eritrea,Africa,0.0365,543,
1070322,1054911,Solapur,India,Asia,0.0146,544,
1069402,1052637,Mersin,Turkey,Asia,0.0159,545,
1067651,1042111,Huzhou,China,Asia,0.0245,546,
1063876,1033680,Xuchang,China,Asia,0.0292,547,
1060460,1049246,Toulouse,France,Europe,0.0107,548,
1059902,1022366,Changshu,China,Asia,0.0367,549,
1057215,1052622,Antwerp,Belgium,Europe,0.0044,550,
1056986,1042445,Aracaju,Brazil,South America,0.0139,551,
1056952,1012312,Nyala,Sudan,Africa,0.0441,552,
1054442,1054243,Changwon,South Korea,Asia,0.0002,553,
1053041,1030815,Denpasar,Indonesia,Asia,0.0216,554,
1050459,1040971,Teresina,Brazil,South America,0.0091,555,
1049690,1033050,Marrakech,Morocco,Africa,0.0161,556,
1048889,1034517,Yueyang,China,Asia,0.0139,557,
1047251,1031867,Tampico,Mexico,North America,0.0149,558,
1038964,1008582,Qujing,China,Asia,0.0301,559,
1034126,1017570,Saltillo,Mexico,North America,0.0163,560,
1033645,1015105,Padang,Indonesia,Asia,0.0183,561,
1031090,1006935,Warangal,India,Asia,0.024,562,
1030974,994911,Blantyre-Limbe,Malawi,Africa,0.0362,563,
1030498,1000477,Ilorin,Nigeria,Africa,0.03,564,
1026767,1013645,San Miguel de Tucuman,Argentina,South America,0.0129,565,
1024945,1008662,Cebu City,Philippines,Asia,0.0161,566,
1023756,996054,Xintai,China,Asia,0.0278,567,
1022604,998146,Cancun,Mexico,North America,0.0245,568,
1020399,980589,Guiping,China,Asia,0.0406,569,
1018976,1005421,Acapulco de Juarez,Mexico,North America,0.0135,570,
1018012,1014675,Rotterdam,Netherlands,Europe,0.0033,571,
1013240,1000348,Kayseri,Turkey,Asia,0.0129,572,
1008599,1000467,Valparaiso,Chile,South America,0.0081,573,
1007716,1007989,Odesa,Ukraine,Europe,-0.0003,574,
1005007,992237,Songkhla,Thailand,Asia,0.0129,575,
1001155,989104,Krasnodar,Russia,Europe,0.0122,576,
1000947,988230,Nonthaburi,Thailand,Asia,0.0129,577,
1000475,990650,Bordeaux,France,Europe,0.0099,578,
999721,976771,Pingxiang Jiangxi,China,Asia,0.0235,579,
995747,964154,Hamah,Syria,Asia,0.0328,580,
995078,997537,Volgograd,Russia,Europe,-0.0025,581,
993175,977845,Jixi Heilongjiang,China,Asia,0.0157,582,
993097,958210,Chengde,China,Asia,0.0364,583,
991876,967454,Dehradun,India,Asia,0.0252,584,
991208,960058,Zhucheng,China,Asia,0.0324,585,
988744,975171,Morelia,Mexico,North America,0.0139,586,
986921,942683,Warri,Nigeria,Africa,0.0469,587,
986899,962139,Dushanbe,Tajikistan,Asia,0.0257,588,
986248,961197,Laiwu,China,Asia,0.0261,589,
984193,953472,Misratah,Libya,Africa,0.0322,590,
983352,945046,Owerri,Nigeria,Africa,0.0405,591,
982777,960233,Jiujiang,China,Asia,0.0235,592,
982021,955649,San Pedro Sula,Honduras,North America,0.0276,593,
979248,960438,Agadir,Morocco,Africa,0.0196,594,
978327,939173,Leiyang,China,Asia,0.0417,595,
975348,958338,Mudanjiang,China,Asia,0.0177,596,
970129,942167,Jos,Nigeria,Africa,0.0297,597,
969804,956849,Jerusalem,Israel,Asia,0.0135,598,
969322,927472,Nampula,Mozambique,Africa,0.0451,599,
967428,943042,Guigang,China,Asia,0.0259,600,
966292,965234,Austin,United States,North America,0.0011,601,601
964291,927856,Sylhet,Bangladesh,Asia,0.0393,602,
964266,949518,Ciudad Guayana,Venezuela,South America,0.0155,603,
963045,953378,Cucuta,Colombia,South America,0.0101,604,
962970,958783,Jacksonville,United States,North America,0.0044,605,605
961991,942126,Rajshahi,Bangladesh,Asia,0.0211,606,
961885,948605,Fort Worth,United States,North America,0.014,607,607
960349,944864,Zamboanga City,Philippines,Asia,0.0164,608,
958998,946844,Arequipa,Peru,South America,0.0128,609,
958548,914456,Lubango,Angola,Africa,0.0482,610,
958487,929669,Najaf,Iraq,Asia,0.031,611,
958335,933176,Bangui,Central African Republic,Africa,0.027,612,
956079,934600,Yangjiang,China,Asia,0.023,613,
955663,924817,Hengshui,China,Asia,0.0334,614,
955519,929015,Zhangzhou,China,Asia,0.0285,615,
955226,942635,Veracruz,Mexico,North America,0.0134,616,
955104,949659,Khulna,Bangladesh,Asia,0.0057,617,
953768,927240,Tianmen,China,Asia,0.0286,618,
952278,922665,Xinyu,China,Asia,0.0321,619,
951822,922495,Linfen,China,Asia,0.0318,620,
951531,943745,Southampton,United Kingdom,Europe,0.0083,621,
951417,934515,Reynosa,Mexico,North America,0.0181,622,
950048,937977,Pathum Thani,Thailand,Asia,0.0129,623,
948149,945312,Nice,France,Europe,0.003,624,
946653,924888,Antipolo,Philippines,Asia,0.0235,625,
944465,929529,Bengbu,China,Asia,0.0161,626,
943530,928663,Villahermosa,Mexico,North America,0.016,627,
941586,946574,Dnipro,Ukraine,Europe,-0.0053,628,
941508,941569,Seongnam,South Korea,Asia,-0.0001,629,
940600,907739,Taiz,Yemen,Asia,0.0362,630,
939166,913268,Deyang,China,Asia,0.0284,631,
936997,898864,Liling,China,Asia,0.0424,632,
935947,922302,Oran,Algeria,Africa,0.0148,633,
934341,921524,West Rand,South Africa,Africa,0.0139,634,
933395,905154,Jiangyin,China,Asia,0.0312,635,
930862,956814,San Jose,United States,North America,-0.0271,636,636
927532,894834,Baishan,China,Asia,0.0365,637,
926095,916786,Campo Grande,Brazil,South America,0.0102,638,
922425,911014,Londrina,Brazil,South America,0.0125,639,
919654,894561,Bahawalpur,Pakistan,Asia,0.0281,640,
919443,906940,Malang,Indonesia,Asia,0.0138,641,
918324,896750,Guntur,India,Asia,0.0241,642,
917936,903644,Dandong,China,Asia,0.0158,643,
917032,911546,Liverpool,United Kingdom,Europe,0.006,644,
915060,899681,Hermosillo,Mexico,North America,0.0171,645,
914036,904170,La Plata,Argentina,South America,0.0109,646,
913376,907202,Bergamo,Italy,Europe,0.0068,647,
912734,911564,Ulsan,South Korea,Asia,0.0013,648,
911862,902142,Concepcion,Chile,South America,0.0108,649,
910743,889876,Changzhi,China,Asia,0.0234,650,
907865,907196,Columbus,United States,North America,0.0007,651,651
906581,889708,Bhiwandi,India,Asia,0.019,652,
905814,864183,Bogra,Bangladesh,Asia,0.0482,653,
904676,861878,Cabinda,Angola,Africa,0.0497,654,
904139,860555,Umuahia,Nigeria,Africa,0.0506,655,
903896,890973,Trujillo,Peru,South America,0.0145,656,
903815,887092,Tyumen,Russia,Europe,0.0189,657,
902353,883389,Ashgabat,Turkmenistan,Asia,0.0215,658,
900692,885256,Liaoyang,China,Asia,0.0174,659,
898338,876395,Changde,China,Asia,0.025,660,
897983,877010,Puducherry,India,Asia,0.0239,661,
897694,881638,Tuxtla Gutierrez,Mexico,North America,0.0182,662,
896716,877888,Erbil,Iraq,Asia,0.0214,663,
895111,873125,Shangqiu,China,Asia,0.0252,664,
894388,870224,Firozabad,India,Asia,0.0278,665,
892254,878960,Soshanguve,South Africa,Africa,0.0151,666,
888620,872643,Culiacan,Mexico,North America,0.0183,667,
887716,893392,Donetsk,Ukraine,Europe,-0.0064,668,
886381,868161,Xingtai,China,Asia,0.021,669,
885663,882681,Charlotte,United States,North America,0.0034,670,670
876930,860580,Huangshi,China,Asia,0.019,671,
876131,863008,Fuxin,China,Asia,0.0152,672,
875496,840372,Kuerle,China,Asia,0.0418,673,
872438,860353,Hufuf-Mubarraz,Saudi Arabia,Asia,0.014,674,
871457,836448,Quzhou,China,Asia,0.0419,675,
871449,876728,Indianapolis,United States,North America,-0.006,676,676
870465,836876,Cherthala,India,Asia,0.0401,677,
869773,856854,Libreville,Gabon,Africa,0.0151,678,
869625,863377,Tainan,Taiwan,Asia,0.0072,679,
864910,848003,Yibin,China,Asia,0.0199,680,
861978,839474,Xinghua,China,Asia,0.0268,681,
860522,835771,Yongzhou,China,Asia,0.0296,682,
859209,847790,Banghazi,Libya,Africa,0.0135,683,
857683,845243,Luzhou,China,Asia,0.0147,684,
857225,842281,Ipoh,Malaysia,Asia,0.0177,685,
855191,836336,Xinyang,China,Asia,0.0225,686,
851630,832913,Yangquan,China,Asia,0.0225,687,
849687,849675,Palermo,Italy,Europe,0,688,
849580,828411,Xiaogan,China,Asia,0.0256,689,
846560,819791,Enugu,Nigeria,Africa,0.0327,690,
844747,822337,Maiduguri,Nigeria,Africa,0.0273,691,
844249,837814,Quebec City,Canada,North America,0.0077,692,
843754,815194,Huaihua,China,Asia,0.035,693,
841108,832944,Winnipeg,Canada,North America,0.0098,694,
839046,790742,Lokoja,Nigeria,Africa,0.0611,695,
838377,839439,Saratov,Russia,Europe,-0.0013,696,
838301,836857,Valencia,Spain,Europe,0.0017,697,
837479,814639,Tianshui,China,Asia,0.028,698,
835900,822533,Orumiyeh,Iran,Asia,0.0163,699,
834782,816151,Zhuji,China,Asia,0.0228,700,
834065,818551,Eskisehir,Turkey,Asia,0.019,701,
830125,802749,Bozhou,China,Asia,0.0341,702,
826981,827868,Bucheon,South Korea,Asia,-0.0011,703,
826777,815308,Heze,China,Asia,0.0141,704,
826414,798818,Kunshan,China,Asia,0.0345,705,
825581,815141,Barcelona-Puerto La Cruz,Venezuela,South America,0.0128,706,
823431,818452,Newcastle upon Tyne,United Kingdom,Europe,0.0061,707,
821192,808044,Haicheng,China,Asia,0.0163,708,
821132,805739,Huludao,China,Asia,0.0191,709,
818628,780349,Kottayam,India,Asia,0.0491,710,
818566,802188,Bikaner,India,Asia,0.0204,711,
818057,791806,Jincheng,China,Asia,0.0332,712,
816293,794715,Nellore,India,Asia,0.0272,713,
814524,813793,Thessaloniki,Greece,Europe,0.0009,714,
814332,811707,Bologna,Italy,Europe,0.0032,715,
813394,792744,Gebze,Turkey,Asia,0.026,716,
813369,796139,Liaocheng,China,Asia,0.0216,717,
813320,804692,Sorocaba,Brazil,South America,0.0107,718,
812090,767645,Bunia,DR Congo,Africa,0.0579,719,
811451,791025,Taixing,China,Asia,0.0258,720,
811041,799178,Xalapa,Mexico,North America,0.0148,721,
809468,776832,Benguela,Angola,Africa,0.042,722,
807833,786186,Langfang,China,Asia,0.0275,723,
806757,800394,Nottingham,United Kingdom,Europe,0.0079,724,
804537,777056,Zhumadian,China,Asia,0.0354,725,
803194,786304,Cagayan de Oro City,Philippines,Asia,0.0215,726,
802600,784218,Dasmarinas,Philippines,Asia,0.0234,727,
801853,792437,Nakhon Ratchasima,Thailand,Asia,0.0119,728,
800793,779320,Sulaimaniya,Iraq,Asia,0.0276,729,
800010,766392,Zanzibar,Tanzania,Africa,0.0439,730,
798382,779386,Ar-Rayyan,Qatar,Asia,0.0244,731,
797964,772476,Gaomi,China,Asia,0.033,732,
797865,799832,Niigata,Japan,Asia,-0.0025,733,
796756,773630,Meishan,China,Asia,0.0299,734,
796509,785635,Jiaozuo,China,Asia,0.0138,735,
796437,791232,Frankfurt,Germany,Europe,0.0066,736,
795835,770665,Hanchuan,China,Asia,0.0327,737,
793927,786127,Vereeniging,South Africa,Africa,0.0099,738,
792620,778087,Amravati,India,Asia,0.0187,739,
791931,758275,Anqiu,China,Asia,0.0444,740,
791214,767107,Muzaffarnagar,India,Asia,0.0314,741,
789755,767329,Danyang,China,Asia,0.0292,742,
788276,776617,Gorakhpur,India,Asia,0.015,743,
786192,757238,Kayamkulam,India,Asia,0.0382,744,
784230,775245,Shaoguan,China,Asia,0.0116,745,
783243,743760,Malanje,Angola,Africa,0.0531,746,
781047,775751,Hamilton,Canada,North America,0.0068,747,
779535,762382,Anqing,China,Asia,0.0225,748,
778280,764116,Bur Sa'id,Egypt,Africa,0.0185,749,
778187,756083,Gaza,Palestine,Asia,0.0292,750,
776076,754831,Linhai,China,Asia,0.0281,751,
775559,762998,Cuttack,India,Asia,0.0165,752,
774321,752919,Erduosi-Ordoss,China,Asia,0.0284,753,
771515,749750,Oshogbo,Nigeria,Africa,0.029,754,
771514,731511,Ibb,Yemen,Asia,0.0547,755,
770959,757329,Banjarmasin,Indonesia,Asia,0.018,756,
769417,769595,Krakow,Poland,Europe,-0.0002,757,
768075,757011,Zigong,China,Asia,0.0146,758,
767188,739777,Yan'an,China,Asia,0.0371,759,
767161,752185,Belgaum,India,Asia,0.0199,760,
766782,755409,Qingyuan,China,Asia,0.0151,761,
766703,764669,Ansan,South Korea,Asia,0.0027,762,
766007,749297,Zaria,Nigeria,Africa,0.0223,763,
764628,747821,Malegaon,India,Asia,0.0225,764,
762981,735499,Kitwe,Zambia,Africa,0.0374,765,
761169,745467,Shaoyang,China,Asia,0.0211,766,
760129,727772,Merca,Somalia,Africa,0.0445,767,
759150,732643,Dengzhou,China,Asia,0.0362,768,
758185,739052,Maturin,Venezuela,South America,0.0259,769,
757224,737464,Yanji,China,Asia,0.0268,770,
756158,738713,Tongliao,China,Asia,0.0236,771,
754711,729924,Yuncheng,China,Asia,0.034,772,
753325,736488,Sialkot,Pakistan,Asia,0.0229,773,
752916,734805,Tongling,China,Asia,0.0246,774,
752744,729109,Tirupati,India,Asia,0.0324,775,
751679,733917,Wuzhou,China,Asia,0.0242,776,
750102,723114,Yuxi,China,Asia,0.0373,777,
750097,733643,Suining Sichuan,China,Asia,0.0224,778,
